출발,관계,도착,메모
분석적 루브릭,대비,총체적 루브릭,요소별 채점 ↔ 전체 인상 하나로
규준참조평가,대비,준거참조평가,상대적 위치 ↔ 성취기준 도달 여부
연질백자,대비,경질백자,낮은 온도·무른 태토 ↔ 높은 온도·치밀한 태토
소조,대비,조각,붙여 나가는 가산법 ↔ 깎아 내는 감산법
다게레오타이프,계보,칼로타이프,
회화주의 사진,계보,스트레이트 포토그래피,
신고전주의,계보,낭만주의,
팔작지붕,대비,맞배지붕,"화려한 곡선, 궁궐·주불전 ↔ 간결한 두 면"
명시성,대비,주목성,멀리서도 잘 보임(명도 차) ↔ 시선을 끎(고채도 난색)
볼록판화,대비,오목판화,튀어나온 면에 잉크 ↔ 파인 홈에 잉크
도구적 미술교육,대비,본질적 미술교육,다른 목적의 수단 ↔ 미술 자체의 가치
창의성 중심 미술교육,계보,학문 중심 미술교육,
이정,대비,어몽룡,묵죽의 전형 ↔ 묵매의 전형
간다라 양식,대비,마투라 양식,헬레니즘풍 사실적 ↔ 인도 토착적 관능미
채도,대비,흑도,채색 토기 ↔ 검은 간 토기
임파스토,대비,글레이징,두껍게 쌓아 질감 ↔ 얇게 겹쳐 투명감
유화,대비,템페라,건조 느림·수정 자유 ↔ 건조 빠름·수정 어려움
발염,대비,방염,이미 든 색을 빼냄 ↔ 색이 스미지 못하게 막음
줄음질,대비,끊음질,무늬대로 오려 붙임 ↔ 실처럼 잘라 끊어 붙임
현색계,대비,혼색계,실물 색표로 지정 ↔ 빛을 측정해 수치로
교육적 감식안,대비,교육 비평,질을 지각하는 능력 ↔ 지각한 것을 언어로 드러냄
타당도,대비,신뢰도,재려는 것을 재는가 ↔ 반복해도 일관된가
직접 교수법,대비,프로젝트법,교사 시범·안내 중심 ↔ 학생 주도 탐구
훈염법,대비,육리문,옅게 겹쳐 굴곡 ↔ 잔선으로 살결
로마네스크,계보,고딕,반원 아치·두꺼운 벽 → 첨두아치·늑골 궁륭
낭만주의,계보,사실주의,
사실주의,계보,인상주의,
인상주의,계보,후기 인상주의,
다다,계보,초현실주의,
바우하우스,계보,울름 조형대학,전후 독일에서 이념을 계승
아르누보,계보,아르데코,
학문 중심 미술교육,계보,시각문화 미술교육,
제6차 미술과 교육과정,계보,제7차 미술과 교육과정,
제7차 미술과 교육과정,계보,2007 개정 미술과 교육과정,
2007 개정 미술과 교육과정,계보,2009 개정 미술과 교육과정,
2009 개정 미술과 교육과정,계보,2015 개정 미술과 교육과정,
2015 개정 미술과 교육과정,계보,2022 개정 미술과 교육과정,역량 명칭과 내용 체계가 달라짐
순청자,계보,상감청자,
상감청자,계보,분청사기,
분청사기,계보,순백자,
간다라 양식,계보,굽타 양식,
진단평가,계보,형성평가,
형성평가,계보,총괄평가,
세잔,영향,입체파,다시점과 형태의 기하학적 환원
데 스틸,영향,바우하우스,수직·수평과 삼원색의 조형 원리
러시아 구성주의,영향,바우하우스,산업 재료와 기하학적 구성
레디메이드,영향,개념미술,솜씨에서 관념으로
김정희,영향,허련,사제 관계 — 남종문인화풍의 전수
이정,영향,유덕장,조선 묵죽의 계승
장승업,영향,안중식,
장승업,영향,조석진,
안견,작품,몽유도원도,
신사임당,작품,초충도,
김득신,작품,파적도,
이인문,작품,강산무진도,
어몽룡,작품,월매도,
윤두서,작품,윤두서 자화상,
김정희,작품,인천안목길상여의,
혜허,작품,수월관음도,
윤두서 자화상,기법,훈염법,
윤두서 자화상,기법,육리문,
그랑드 자트 섬의 일요일 오후,기법,점묘법,
그랑드 자트 섬의 일요일 오후,기법,색채 분할,
백제금동대향로,기법,실납법,복잡한 투조 형태를 한 번에 주조
성덕대왕신종,기법,실납법,
니시키에,기법,켄토,색판을 겹쳐 찍을 때 종이 위치를 맞추는 홈
경천사지 십층석탑,기법,이형 석탑,
다보탑,기법,이형 석탑,
불국사 삼층석탑,기법,전형 양식,
감은사지 삼층석탑,기법,전형 양식,
아이스너,주장,교육 비평,
아이스너,주장,학문 중심 미술교육,
치젝,주장,창의성 중심 미술교육,
브라우디,주장,미적 주사,
로웬펠드,주장,시각형과 촉각형,
슈브뢸,주장,동시대비,
루드,주장,병치혼합,
빌 모그리지,주장,인터랙션 디자인,
빅터 파파넥,주장,적정기술,
슈마허,주장,적정기술,『작은 것이 아름답다』
디터 람스,주장,굿 디자인,
김정희,주장,추사체,
곽희,주장,삼원법,
고개지,주장,전신사조,
미불,주장,미점법,
회전혼합,상위,중간혼합,
르네상스,대표작가,조토 디 본도네,
르네상스,대표작가,필리포 브루넬레스키,
르네상스,대표작가,도나텔로,
르네상스,대표작가,미켈란젤로,
르네상스,대표작가,티치아노 베첼리오,
르네상스,대표작가,조르조네,
북유럽 르네상스,대표작가,얀 반 에이크,
북유럽 르네상스,대표작가,알브레히트 뒤러,
바로크,대표작가,카라바조,
바로크,대표작가,지안 로렌초 베르니니,
바로크,대표작가,피터 파울 루벤스,
바로크,대표작가,렘브란트,
바로크,대표작가,프란스 할스,
바로크,대표작가,요하네스 베르메르,
바로크,대표작가,디에고 벨라스케스,
바로크,대표작가,니콜라 푸생,
로코코,대표작가,장 앙투안 와토,
신고전주의,대표작가,장 오귀스트 도미니크 앵그르,
낭만주의,대표작가,카스파르 다비트 프리드리히,
낭만주의,대표작가,조셉 말러드 윌리엄 터너,
인상주의,대표작가,피에르 오귀스트 르누아르,
인상주의,대표작가,에드가 드가,
후기 인상주의,대표작가,세잔,
상징주의,대표작가,귀스타브 모로,
표현주의,대표작가,에른스트 루트비히 키르히너,
야수파,대표작가,앙리 마티스,
미래주의,대표작가,움베르토 보치오니,
다다,대표작가,한스 아르프,
다다,대표작가,쿠르트 슈비터스,
초현실주의,대표작가,르네 마그리트,
색면 추상,대표작가,마크 로스코,
팝아트,대표작가,로버트 라우센버그,
팝아트,대표작가,로이 리히텐슈타인,
팝아트,대표작가,클래스 올덴버그,
개념미술,대표작가,조셉 코수스,
대지미술,대표작가,로버트 스미스슨,
퍼포먼스 아트,대표작가,마리나 아브라모비치,
신표현주의,대표작가,게오르크 바젤리츠,
신표현주의,대표작가,안젤름 키퍼,
오르피즘,대표작가,로베르 들로네,
비디오 아트,대표작가,백남준,
비디오 아트,대표작가,빌 비올라,
비디오 아트,대표작가,브루스 나우만,
제도 비판,대표작가,마이클 애셔,
제도 비판,대표작가,고든 마타클락,
단색화,대표작가,김환기,
고려불화,대표작가,혜허,
풍속화,대표작가,김홍도,
풍속화,대표작가,신윤복,
풍속화,대표작가,김득신,
진경산수화,대표작가,정선,
절파 화풍,대표작가,김명국,
르네상스,계보,매너리즘,
매너리즘,계보,바로크,
바로크,계보,로코코,
르네상스,계보,북유럽 르네상스,"같은 시기, 다른 지향"
후기 인상주의,계보,야수파,
후기 인상주의,계보,표현주의,
추상표현주의,계보,색면 추상,
팝아트,계보,시뮬라크르 미술,
르네상스,대비,바로크,정지된 균형 ↔ 운동과 극적 순간
발묵,대비,파묵,흠뻑 번지게 ↔ 마르기 전 다른 농도를 더함
백묘법,대비,몰골법,윤곽선만 ↔ 윤곽선 없이 면으로
환조,대비,고부조,사방에서 보는 입체 ↔ 벽에 붙은 높은 부조
철화백자,대비,동화백자,"산화철, 검거나 갈색 ↔ 산화동, 붉은색"
석굴암 본존불,기법,항마촉지인,
백자 달항아리,기법,물레성형,위아래 반쪽을 따로 만들어 접합
백자 달항아리,상위,순백자,
부석사 무량수전,기법,주심포 양식,
부석사 무량수전,기법,배흘림기둥,
종묘 정전,관련,도산서원,
천마총 천마도,관련,적석목곽분,
금관,관련,적석목곽분,
고사관수도,관련,소경산수인물화,
강세황,영향,김홍도,제자를 지도
고희동,관련,나혜석,한국 근대 서양화의 1세대
이중섭,관련,박수근,
김생,관련,한호,
왕희지,주장,서예의 고법,
먼셀 표색계,대비,오스트발트 표색계,색상·명도·채도 ↔ 순색량·백색량·흑색량
먼셀 표색계,관련,색의 삼속성,
계시대비,대비,동시대비,시간차로 나타남 ↔ 동시에 나타남
계시대비,관련,부적 잔상,
면적대비,관련,강조배색,
선염법,관련,바림,
타이포그래피,관련,기업 이미지 통합,
마티에르,관련,임파스토,
픽사티브,관련,목탄,
테라코타,관련,초벌구이,
아상블라주,관련,오브제,
뼈대 설치,관련,소조,
설치미술,관련,장소특정적 미술,
특정 객체,관련,미니멀리즘,
올오버 페인팅,상위,액션 페인팅,
액션 페인팅,상위,추상표현주의,
종합주의,관련,나비파,
직소 모형,관련,협동학습,
토의·토론법,관련,비평적 대화,
도상해석학 3단계,관련,미술관 교육,
리드,주장,표현기능 중심 미술교육,
포트폴리오 평가,관련,과정 중심 평가,
실기 평가,관련,수행평가,
블룸 교육목표 분류,관련,성취기준,
ARCS 동기유발 모형,관련,학습자 주도성,
나선형 교육과정,관련,깊이 있는 학습,
피아제 인지발달단계,관련,미적 인지 발달,
선행조직자,관련,유의미 학습,
관계 미학,관련,퍼포먼스 아트,
예술의 제도적 정의,관련,제도론,
예술정의 불가론,관련,열린 개념,
페미니즘 비평,관련,주디 시카고,
사회사적 비평,관련,이데올로기 비평,
해체주의 비평,관련,저자의 죽음,
수용 미학,관련,텍스트,
기호학적 비평,상위,기호학,
시뮬라시옹,관련,시뮬라크르,
포스트콜로니얼리즘,관련,다문화 미술교육,
환경 미학,관련,생태미술교육,
미적 무관심성,관련,미적 태도론,
카타르시스,관련,미메시스,
미술관 교육,관련,박물관학,
감각 교육,관련,감각 교구,
노작 교육,관련,감각 교육,
미적 경험,관련,미학적 이해,
양주팔괴,관련,팔대산인,
왕몽,관련,오진,
서화동원론,관련,문인화론,
건필윤묵,관련,일획론,
정통파,대비,개성파,옛 법의 계승 ↔ 개성의 표출
하가산수,관련,오진,
청화백자,관련,백자 청화,
황금비,관련,카논,
정면성의 원리,대비,콘트라포스토,굳은 정면 ↔ 무게 이동의 자연스러움
돔 구조,관련,아야 소피아,
훈염법,상위,초상화 기법,
육리문,상위,초상화 기법,
삼백법,상위,초상화 기법,
배채법,상위,초상화 기법,
발묵,상위,필묵법,
파묵,상위,필묵법,
삼묵법,상위,필묵법,
갈필,상위,필묵법,
적묵법,상위,필묵법,
몰골법,상위,필묵법,
구륵법,상위,필묵법,
데칼코마니,상위,우연 효과 기법,
프로타주,상위,우연 효과 기법,
마블링,상위,우연 효과 기법,
스크래치 기법,상위,우연 효과 기법,
훈염법,대비,삼백법,어둡게 우려냄 ↔ 밝게 도드라지게
배채법,대비,훈염법,뒷면에서 배어나게 ↔ 앞면에서 겹쳐 올림
난엽묘,대비,철선묘,난초 잎처럼 굵기가 변하는 선 ↔ 철사처럼 일정한 선
액션 페인팅,대비,색면 추상,행위의 흔적 ↔ 넓은 색면의 침잠
점묘법,관련,색채 분할,
해조묘,관련,권운준,둘 다 곽희의 〈조춘도〉
수파묘,관련,무근수,
누보 레알리즘,대표작가,장 팅겔리,
누보 레알리즘,대표작가,아르망,
옵아트,대표작가,빅토르 바자렐리,
아르 브뤼,대표작가,장 뒤뷔페,
페미니즘 미술,대표작가,주디 시카고,
그래피티 아트,대표작가,쟝 미쉘 바스키아,
그래피티 아트,대표작가,키스 해링,
볼록판화,상위,판화,
오목판화,상위,판화,
평판화,상위,판화,
공판화,상위,판화,
누보 레알리즘,관련,인터내셔널 클랭 블루,
누보 레알리즘,대비,팝아트,실제 사물의 직접 제시 ↔ 대중 이미지의 차용
누보 레알리즘,관련,아상블라주,
옵아트,관련,키네틱 아트,시각적 착시 ↔ 실제 움직임
페미니즘 미술,관련,페미니즘 비평,
루치오 폰타나,관련,아르 브뤼,
개념미술,대표작가,데미안 허스트,
메조틴트,도구,로커,
메조틴트,도구,스크레이퍼,
에칭,도구,그라운드액,
드라이포인트,도구,버,
실크스크린,도구,스퀴지,
목판화,도구,바렌,
니시키에,도구,바렌,
한국현대미술가협회,관련,앵포르멜,1957년 전후 한국 앵포르멜의 거점
한국현대미술가협회,상위,전위미술,
한국현대미술가협회,대비,조선미술전람회,국전 아카데미즘에 대한 항거
앵포르멜,계보,단색화,뜨거운 추상 → 차가운 물성
앵포르멜,대비,추상표현주의,유럽의 뜨거운 추상 ↔ 미국의 대형 추상
전위미술,관련,실험미술,
신사실파,관련,김환기,
르네상스,대표작가,산드로 보티첼리,
매너리즘,대표작가,파르미자니노,
낭만주의,대표작가,테오도르 제리코,
낭만주의,대표작가,외젠 들라크루아,
사실주의,대표작가,귀스타브 쿠르베,
인상주의,대표작가,에두아르 마네,
표현주의,대표작가,바실리 칸딘스키,
산드로 보티첼리,작품,비너스의 탄생,
파르미자니노,작품,긴 목의 마돈나,
테오도르 제리코,작품,메두사호의 뗏목,
외젠 들라크루아,작품,민중을 이끄는 자유의 여신,
귀스타브 쿠르베,작품,돌 깨는 사람들,
에두아르 마네,작품,풀밭 위의 점심식사,
마애불,상위,불상 형식,
철불,상위,불상 형식,
광배,상위,불상 형식,
수인,상위,불상 형식,
삼불상,상위,불상 형식,
감로도,상위,탱화,
트랜스아방가르드,상위,신표현주의,
르네상스,대표작품,비너스의 탄생,
르네상스,대표작품,성 삼위일체,
매너리즘,대표작품,긴 목의 마돈나,
낭만주의,대표작품,메두사호의 뗏목,
낭만주의,대표작품,민중을 이끄는 자유의 여신,
사실주의,대표작품,돌 깨는 사람들,
인상주의,대표작품,풀밭 위의 점심식사,
로마네스크,대표작품,피사 성당,
사군자,관련,문자도,
사군자,관련,이정,
사군자,관련,어몽룡,
빗살무늬토기,대비,반구대 암각화,신석기 토기 ↔ 선사 암각화
발해 이불병좌상,관련,석굴암 본존불,
무령왕릉 석수,관련,백제금동대향로,
조각보,관련,방염,
온돌,관련,도산서원,
삼절,관련,최북,
고구려 고분 벽화,상위,사신도,
고구려 고분 벽화,대표작품,무용총 수렵도,
고구려 고분 벽화,대표작품,덕흥리 고분 벽화,
김수철,관련,김정희,
엔타시스,관련,배흘림기둥,같은 착시 보정의 원리
성상 파괴 운동,관련,카타콤,
신즉물주의,대비,표현주의,냉정한 관찰 ↔ 격정의 표출
에콜 드 파리,관련,야수파,
문방사우,관련,서예의 고법,
모빌,관련,키네틱 아트,
안전색채,관련,명시성,
담채,관련,수채화,
영자팔법,관련,해서,
바우하우스 마이스터 제도,상위,바우하우스,
귀납적 탐구학습 모형,관련,발견학습,
반응 중심 학습법,관련,수용 미학,
가족 유사성,관련,열린 개념,
외재적 비평,대비,내재적 비평,작품 밖의 맥락 ↔ 작품 안의 형식
의경,관련,기운생동,
징회미상,관련,의경,
함기심목,관련,전신사조,
오대당풍,관련,요철법,
상형상리론,관련,문인화론,
도철문,관련,화상석,
마사초,작품,성 삼위일체,
르네상스,대표작가,마사초,
헬레니즘,대표작품,라오콘 군상,
카논,관련,헬레니즘,
헬레니즘,대비,르네상스,격정과 운동 ↔ 이상적 균형
사경,상위,탱화,
르 코르뷔지에,주장,모듈러,
모듈러,관련,황금비,
바실리 칸딘스키,관련,표현주의,
금동미륵보살반가사유상,관련,서산마애삼존불,
라스코 동굴벽화,대비,반구대 암각화,구석기 동굴벽화 ↔ 신석기 이후 암각화
타일러 모형,대비,성취기준,목표→경험→조직→평가
